RUN	AdvancedSimulation	advancedsimulation	1710035380641	 	3.2.1
USER	Buscar usuários	157	START	1710035399816	1710035399816
REQUEST	157		GET_usuarios	1710035399817	1710035399821	OK	 
USER	Buscar produtos	162	START	1710035399946	1710035399946
REQUEST	162		GET_produtos	1710035399947	1710035399953	OK	 
USER	Buscar produtos	113	END	1710035394616	1710035399967
USER	Buscar usuários	158	START	1710035400016	1710035400016
REQUEST	158		GET_usuarios	1710035400016	1710035400019	OK	 
USER	Buscar carrinhos	122	END	1710035395616	1710035400026
USER	Buscar usuários	133	END	1710035397006	1710035400035
USER	Buscar usuários	141	END	1710035398016	1710035400056
USER	Buscar produtos	112	END	1710035394285	1710035400076
USER	Buscar usuários	159	START	1710035400216	1710035400216
REQUEST	159		GET_usuarios	1710035400217	1710035400223	OK	 
USER	Buscar produtos	163	START	1710035400275	1710035400275
REQUEST	163		GET_produtos	1710035400277	1710035400281	OK	 
USER	Buscar usuários	118	END	1710035395416	1710035400347
USER	Buscar usuários	142	END	1710035398216	1710035400386
USER	Buscar usuários	160	START	1710035400416	1710035400416
REQUEST	160		GET_usuarios	1710035400417	1710035400422	OK	 
USER	Buscar usuários	135	END	1710035397406	1710035400446
USER	Buscar usuários	161	START	1710035400615	1710035400615
USER	Buscar produtos	164	START	1710035400616	1710035400616
USER	Buscar carrinhos	165	START	1710035400616	1710035400616
REQUEST	165		GET_carrinhos	1710035400617	1710035400622	OK	 
REQUEST	164		GET_produtos	1710035400617	1710035400623	OK	 
REQUEST	161		GET_usuarios	1710035400616	1710035400623	OK	 
USER	Buscar produtos	138	END	1710035397606	1710035400656
USER	Buscar usuários	125	END	1710035396215	1710035400706
USER	Buscar usuários	166	START	1710035400817	1710035400817
REQUEST	166		GET_usuarios	1710035400819	1710035400823	OK	 
USER	Buscar carrinhos	114	END	1710035394616	1710035400876
USER	Buscar produtos	128	END	1710035395946	1710035400966
USER	Buscar usuários	167	START	1710035401016	1710035401016
REQUEST	167		GET_usuarios	1710035401016	1710035401020	OK	 
USER	Buscar usuários	126	END	1710035396415	1710035401077
USER	Buscar produtos	129	END	1710035396276	1710035401106
USER	Buscar produtos	170	START	1710035401116	1710035401116
